forecast_date,target,target_end_date,location,type,quantile,value
2021-01-28,9 day ahead inc hosp,2021-02-06,56,quantile,0.100,11.320573591164933
2021-01-28,10 day ahead inc hosp,2021-02-07,56,quantile,0.100,10.655059654455314
2021-01-28,11 day ahead inc hosp,2021-02-08,56,quantile,0.100,9.831828238579137
2021-01-28,12 day ahead inc hosp,2021-02-09,56,quantile,0.100,9.033217188179291
2021-01-28,13 day ahead inc hosp,2021-02-10,56,quantile,0.100,8.279327448273982
2021-01-28,14 day ahead inc hosp,2021-02-11,56,quantile,0.100,7.580403539586532
2021-01-28,15 day ahead inc hosp,2021-02-12,56,quantile,0.100,6.964975598277769
2021-01-28,16 day ahead inc hosp,2021-02-13,56,quantile,0.100,6.385457873163409
2021-01-28,17 day ahead inc hosp,2021-02-14,56,quantile,0.100,5.873693167908022
2021-01-28,18 day ahead inc hosp,2021-02-15,56,quantile,0.100,5.403603046590183
2021-01-28,19 day ahead inc hosp,2021-02-16,56,quantile,0.100,4.960957725349906
2021-01-28,20 day ahead inc hosp,2021-02-17,56,quantile,0.100,4.535528981248623
2021-01-28,21 day ahead inc hosp,2021-02-18,56,quantile,0.100,4.075616136025059
2021-01-28,22 day ahead inc hosp,2021-02-19,56,quantile,0.100,3.6113264991881353
2021-01-28,23 day ahead inc hosp,2021-02-20,56,quantile,0.100,3.1977758373841465
2021-01-28,24 day ahead inc hosp,2021-02-21,56,quantile,0.100,2.831199401322076
2021-01-28,25 day ahead inc hosp,2021-02-22,56,quantile,0.100,2.50679818569291
2021-01-28,26 day ahead inc hosp,2021-02-23,56,quantile,0.100,2.209888219336713
2021-01-28,27 day ahead inc hosp,2021-02-24,56,quantile,0.100,1.9346219651417647
2021-01-28,28 day ahead inc hosp,2021-02-25,56,quantile,0.100,1.6910468244771695
2021-01-28,29 day ahead inc hosp,2021-02-26,56,quantile,0.100,1.476517700150077
2021-01-28,30 day ahead inc hosp,2021-02-27,56,quantile,0.100,1.2877640218266457
2021-01-28,31 day ahead inc hosp,2021-02-28,56,quantile,0.100,1.1205826381722255
2021-01-28,32 day ahead inc hosp,2021-03-01,56,quantile,0.100,0.972505832998327
2021-01-28,33 day ahead inc hosp,2021-03-02,56,quantile,0.100,0.8429468792206601
2021-01-28,34 day ahead inc hosp,2021-03-03,56,quantile,0.100,0.7305771870344888
2021-01-28,35 day ahead inc hosp,2021-03-04,56,quantile,0.100,0.633473394829342
2021-01-28,36 day ahead inc hosp,2021-03-05,56,quantile,0.100,0.5491429465407925
2021-01-28,37 day ahead inc hosp,2021-03-06,56,quantile,0.100,0.47521585494928054
2021-01-28,38 day ahead inc hosp,2021-03-07,56,quantile,0.100,0.41006352232806526
2021-01-28,39 day ahead inc hosp,2021-03-08,56,quantile,0.100,0.35374827885548293
2021-01-28,40 day ahead inc hosp,2021-03-09,56,quantile,0.100,0.3060088761257361
2021-01-28,41 day ahead inc hosp,2021-03-10,56,quantile,0.100,0.2651176925457392
2021-01-28,42 day ahead inc hosp,2021-03-11,56,quantile,0.100,0.23083223785799367
2021-01-28,43 day ahead inc hosp,2021-03-12,56,quantile,0.100,0.20222992767896036
2021-01-28,44 day ahead inc hosp,2021-03-13,56,quantile,0.100,0.17837739270901215
2021-01-28,45 day ahead inc hosp,2021-03-14,56,quantile,0.100,0.1584281817117455
2021-01-28,46 day ahead inc hosp,2021-03-15,56,quantile,0.100,0.14170411985584053
2021-01-28,47 day ahead inc hosp,2021-03-16,56,quantile,0.100,0.12764780997110015
2021-01-28,48 day ahead inc hosp,2021-03-17,56,quantile,0.100,0.1157059788848049
2021-01-28,49 day ahead inc hosp,2021-03-18,56,quantile,0.100,0.10535591793466423
2021-01-28,50 day ahead inc hosp,2021-03-19,56,quantile,0.100,0.09630571633138524
2021-01-28,51 day ahead inc hosp,2021-03-20,56,quantile,0.100,0.08845965859020545
2021-01-28,52 day ahead inc hosp,2021-03-21,56,quantile,0.100,0.07667315474120937
2021-01-28,53 day ahead inc hosp,2021-03-22,56,quantile,0.100,0.06645196320129998
2021-01-28,54 day ahead inc hosp,2021-03-23,56,quantile,0.100,0.0576613338888285
2021-01-28,55 day ahead inc hosp,2021-03-24,56,quantile,0.100,0.050139012909612125
2021-01-28,56 day ahead inc hosp,2021-03-25,56,quantile,0.100,0.04358895960431475
2021-01-28,57 day ahead inc hosp,2021-03-26,56,quantile,0.100,0.03784524648056042
2021-01-28,58 day ahead inc hosp,2021-03-27,56,quantile,0.100,0.03292280810672746
2021-01-28,59 day ahead inc hosp,2021-03-28,56,quantile,0.100,0.028708059898502523
2021-01-28,60 day ahead inc hosp,2021-03-29,56,quantile,0.100,0.025039510773410403
2021-01-28,61 day ahead inc hosp,2021-03-30,56,quantile,0.100,0.021819388549851246
2021-01-28,62 day ahead inc hosp,2021-03-31,56,quantile,0.100,0.01884045375578036
2021-01-28,63 day ahead inc hosp,2021-04-01,56,quantile,0.100,0.01593939376348827
2021-01-28,64 day ahead inc hosp,2021-04-02,56,quantile,0.100,0.013096271691764116
2021-01-28,65 day ahead inc hosp,2021-04-03,56,quantile,0.100,0.010315402336011166
2021-01-28,66 day ahead inc hosp,2021-04-04,56,quantile,0.100,0.00800648476385235
2021-01-28,67 day ahead inc hosp,2021-04-05,56,quantile,0.100,0.006940040627044777
2021-01-28,68 day ahead inc hosp,2021-04-06,56,quantile,0.100,0.005946752151383242
2021-01-28,69 day ahead inc hosp,2021-04-07,56,quantile,0.100,0.004355821135177409
2021-01-28,70 day ahead inc hosp,2021-04-08,56,quantile,0.100,0.003147861268046472
2021-01-28,71 day ahead inc hosp,2021-04-09,56,quantile,0.100,0.0025034082055771624
2021-01-28,72 day ahead inc hosp,2021-04-10,56,quantile,0.100,0.0011786523015386479
2021-01-28,73 day ahead inc hosp,2021-04-11,56,quantile,0.100,0.00014265488360012813
2021-01-28,74 day ahead inc hosp,2021-04-12,56,quantile,0.100,-0.0009431530971928282
2021-01-28,75 day ahead inc hosp,2021-04-13,56,quantile,0.100,-0.0019286934471154113
2021-01-28,76 day ahead inc hosp,2021-04-14,56,quantile,0.100,-0.00248478304740383
2021-01-28,77 day ahead inc hosp,2021-04-15,56,quantile,0.100,-0.0025878553442305785
2021-01-28,78 day ahead inc hosp,2021-04-16,56,quantile,0.100,-0.0026617514528684233
2021-01-28,79 day ahead inc hosp,2021-04-17,56,quantile,0.100,-0.0036495569595511534
2021-01-28,80 day ahead inc hosp,2021-04-18,56,quantile,0.100,-0.0064014427563054525
2021-01-28,81 day ahead inc hosp,2021-04-19,56,quantile,0.100,-0.006093858201269306
2021-01-28,82 day ahead inc hosp,2021-04-20,56,quantile,0.100,-0.013356893552601569
2021-01-28,83 day ahead inc hosp,2021-04-21,56,quantile,0.100,-0.02085624907057564
2021-01-28,84 day ahead inc hosp,2021-04-22,56,quantile,0.100,-0.025583143863167023
2021-01-28,85 day ahead inc hosp,2021-04-23,56,quantile,0.100,-0.027615842509538184
2021-01-28,86 day ahead inc hosp,2021-04-24,56,quantile,0.100,-0.02799449863375841
2021-01-28,87 day ahead inc hosp,2021-04-25,56,quantile,0.100,-0.027214630486597894
